claim_id,claimant_name,ssn,dob,injury_date,reported_date,injury_type,body_part,claim_status,adjuster_id,region,claim_amount,employee_id
CLM-00001,Emily Middleton,417-19-8842,2007-10-30,23-JUL-2024,2024-07-28,Sprain,Wrist,CLOSED,ADJ-06,Sacramento,8190.44,EMP-W-4422
CLM-00002,Laura Gregory,601-41-0112,12-DEC-2002,2024-11-26,2024-12-01,Contusion,Shoulder,CLOSED,ADJ-03,Central Valley,9517.96,EMP-W-3697
CLM-00003,Luke Ray,055-92-5872,2001-06-10,07-DEC-2024,2024-12-07,Sprain,Ankle,OPEN,ADJ-13,Southern CA,5784.94,EMP-W-3327
CLM-00004,Brian Smith,123-10-1043,07/07/1997,2024-11-21,11/22/2024,Laceration,Hand,CLOSED,ADJ-05,Inland Empire,4587.12,EMP-W-1393
CLM-00005,Patricia Rodriguez,825-53-6248,1993-09-30,2024-07-02,07/02/2024,Fracture,Hand,CLOSED,ADJ-02,Inland Empire,24014.59,EMP-W-1143
CLM-00006,Amber Smith,663-82-1337,31-JUL-1984,2024-10-27,2024-11-14,Fracture,Leg,CLOSED,ADJ-12,Bay Area,19010.52,EMP-W-3224
CLM-00007,Peter Williams,005-42-6304,1982-04-22,2024-11-21,11/26/2024,Fracture,Hand,CLOSED,ADJ-12,Sacramento,27075.56,EMP-W-2126
CLM-00008,Kyle Collins,029-73-9231,1986-12-21,2024-05-14,2024-05-14,Sprain,Wrist,CLOSED,ADJ-02,Sacramento,6173.92,EMP-W-3011
CLM-00009,Lee Stewart,588-23-7221,1973-07-17,2024-12-08,2024-12-13,Fracture,Wrist,CLOSED,ADJ-11,Central Valley,22921.53,EMP-W-2639
CLM-00010,Tiffany Anderson,520-20-7293,1963-07-13,2025-03-30,2025-03-31,Sprain,Knee,OPEN,ADJ-02,Sacramento,6410.37,EMP-W-2881
CLM-00011,Felicia Aguilar,510-25-9888,1972-01-11,04/24/2024,2024-04-26,Sprain,Wrist,CLOSED,ADJ-15,Southern CA,7123.63,EMP-W-1425
CLM-00012,Kara Jackson,628-44-7450,2006-04-10,2024-08-21,23-AUG-2024,Laceration,Forearm,CLOSED,ADJ-06,Inland Empire,2071.89,EMP-W-4520
CLM-00013,Christopher Waters,061-62-9686,09-MAR-1968,2024-07-26,2024-08-23,Sprain,Knee,CLOSED,ADJ-02,Northern CA,4470.52,EMP-W-4679
CLM-00014,"Smith, Robert",300-81-6985,1988-12-21,04/12/2025,04/14/2025,burn,Arm,OPEN,ADJ-03,northern ca,19173.55,EMP-W-4185
CLM-00015,Hannah Montoya,541-06-3082,07/14/1967,2024-12-07,12/12/2024,Sprain,Wrist,CLOSED,ADJ-10,Central Valley,6792.79,EMP-W-2519
CLM-00016,Morgan Cummings,193-46-8811,1965-01-12,2024-04-23,2024-04-28,Laceration,Forearm,CLOSED,ADJ-12,Central Valley,3422.95,EMP-W-2514
CLM-00017,Elizabeth Wilson,212-74-0256,1964-07-17,2024-03-02,2024-03-06,Strain,Shoulder,CLOSED,ADJ-01,Sacramento,9487.38,EMP-W-4270
CLM-00018,Donald Fisher,391-27-1906,03/24/1981,2025-04-13,2025-04-14,Burn,Hand,OPEN,ADJ-15,Inland Empire,16808.31,EMP-W-3394
CLM-00019,Ronald Brown,005-31-5420,1973-07-06,2025-06-12,2025-06-12,Contusion,Thigh,OPEN,ADJ-06,Inland Empire,5569.2,EMP-W-3076
