employee_id,full_name,job_class,hire_date,annual_wage,employer_id
EMP-W-1001,Allison Hill,Laborer,2019-07-08,67484,EMP-117
EMP-W-1002,Noah Rhodes,Warehouse,07/11/2013,43280,EMP-108
EMP-W-1003,Angie Henderson,Driver,2019-11-30,75508,EMP-137
EMP-W-1004,Daniel Wagner,Laborer,2005-08-02,78930,EMP-101
EMP-W-1005,Cristian Santos,Warehouse,04/22/2020,28000,EMP-114
EMP-W-1006,Connie Lawrence,Laborer,11/04/2001,38560,EMP-135
EMP-W-1007,Abigail Shaffer,Office,2015-08-05,64301,EMP-114
EMP-W-1008,Gina Moore,Welder,05/12/2004,56307,EMP-100
EMP-W-1009,Gabrielle Davis,Office,2017-05-08,61697,EMP-121
EMP-W-1010,Ryan Munoz,Machinist,2012-01-18,46645,EMP-113
EMP-W-1011,Monica Herrera,Driver,2009-05-31,77829,EMP-105
EMP-W-1012,Jamie Arnold,Driver,2007-06-21,76000,EMP-122
EMP-W-1013,Lisa Hensley,Welder,2009-01-30,63188,EMP-102
EMP-W-1014,Michele Williams,Driver,2003-11-26,82290,EMP-124
EMP-W-1015,Dylan Miller,Welder,2020-12-22,70415,EMP-139
EMP-W-1016,Brian Ramirez,Warehouse,04/15/2008,46532,EMP-104
EMP-W-1017,Holly Wood,Warehouse,06/16/2022,68637,EMP-118
EMP-W-1018,Derek Zuniga,Warehouse,2020-12-06,44740,EMP-106
EMP-W-1019,Lisa Jackson,Welder,2007-06-18,77812,EMP-129
EMP-W-1020,Carla Gray,Machinist,2008-02-23,61101,EMP-123
EMP-W-1021,Margaret Hawkins DDS,Warehouse,2008-07-29,58672,EMP-117
EMP-W-1022,Patty Perez,machinist,23-APR-2021,49743,EMP-134
EMP-W-1023,Ethan Adams,machinist,2013-07-13,84005,EMP-129
EMP-W-1024,Tommy Walter,Welder,2007-06-29,59218,EMP-135
EMP-W-1025,Matthew Foster,Supervisor,2014-08-29,54290,EMP-103
EMP-W-1026,Judy Baker,Laborer,2014-03-28,55661,EMP-120
EMP-W-1027,Justin Baker,Welder,2006-07-08,71581,EMP-104
EMP-W-1028,Stephanie Ross,Supervisor,01/18/2015,68577,EMP-113
EMP-W-1029,Zachary Hicks,Office,02/12/2002,69429,EMP-129
EMP-W-1030,Anthony Rodriguez,Welder,02/07/2018,69754,EMP-108
EMP-W-1031,Rebecca Henderson,Welder,2013-06-13,100549,EMP-137
EMP-W-1032,James Ferrell,Office,04/17/2005,54684,EMP-123
EMP-W-1033,Tricia Valencia,Machinist,2014-09-03,52779,EMP-132
EMP-W-1034,Nathan Maldonado,Driver,2002-05-17,47352,EMP-103
EMP-W-1035,Debra Davidson,Machinist,2019-08-05,73087,EMP-110
EMP-W-1036,Jeffrey Chavez,Driver,07/29/2005,82321,EMP-124
EMP-W-1037,Sherri Baker,Construction,2007-05-24,59948,EMP-133
EMP-W-1038,Cassandra Gaines,Laborer,2013-03-26,46877,EMP-107
EMP-W-1039,Elizabeth Fowler,Welder,2000-06-04,47159,EMP-121
EMP-W-1040,Brittany Farmer,Welder,2019-07-05,73710,EMP-127
EMP-W-1041,Paula Moreno,Construction,2017-06-01,75378,EMP-100
EMP-W-1042,Fred Smith,Machinist,2012-09-11,71776,EMP-132
EMP-W-1043,Sherry Decker,Welder,2019-09-27,50020,EMP-132
EMP-W-1044,Anthony Humphrey,Machinist,08/04/2015,66178,EMP-123
EMP-W-1045,Angelica Tucker,Laborer,04/07/2017,64100,EMP-138
EMP-W-1046,Philip Cannon,Construction,2009-12-21,65936,EMP-101
EMP-W-1047,John Pierce,Supervisor,2019-06-30,77685,EMP-119
EMP-W-1048,Shane Henderson,Laborer,2013-10-08,66024,EMP-115
EMP-W-1049,Joshua Blair,Driver,2020-12-23,74220,EMP-131
EMP-W-1050,Eric Carney,Machinist,2021-05-29,63216,EMP-108
EMP-W-1051,Jessica Holmes,Machinist,11-MAR-2003,67204,EMP-116
EMP-W-1052,Danny Morgan,Office,03-NOV-2000,73363,EMP-113
EMP-W-1053,Crystal Robinson,Warehouse,2000-04-27,35771,EMP-119
EMP-W-1054,Mark Perez,Supervisor,12-AUG-2006,56245,EMP-128
EMP-W-1055,Shannon Jones,Construction,2001-04-18,53533,EMP-107
EMP-W-1056,Michael Lewis,Warehouse,2013-05-23,50500,EMP-104
EMP-W-1057,Timothy Duncan,Laborer,2009-05-06,57047,EMP-137
EMP-W-1058,Richard Aguirre,Warehouse,2014-03-10,88908,EMP-100
EMP-W-1059,Brent Jordan,Laborer,2021-04-29,46415,EMP-114
EMP-W-1060,John Daniel,Laborer,2021-06-27,79429,EMP-121
